"user_id","event_datetime","event_name","event_id"
"d206fed0-a4f7-11e6-91a5-1fc490c5cf69",2017-07-09,"London Philharmonic Orchestra","7fe92580-a8e2-11e6-8597-f9ef43490d96"
"d208ac80-a4f7-11e6-91a5-1fc490c5cf69",2017-11-25,"Wien Modern","7feafa40-a8e2-11e6-8597-f9ef43490d96"
"d208d390-a4f7-11e6-91a5-1fc490c5cf69",2017-12-01,"Wahlkampfveranstaltung","7feafa41-a8e2-11e6-8597-f9ef43490d96"
"d208d391-a4f7-11e6-91a5-1fc490c5cf69",2017-03-22,"kein Sonntag ohne Techno","7feafa42-a8e2-11e6-8597-f9ef43490d96"
"d208d392-a4f7-11e6-91a5-1fc490c5cf69",2017-03-11,"Finest Spirits","7feb2150-a8e2-11e6-8597-f9ef43490d96"
"d208d393-a4f7-11e6-91a5-1fc490c5cf69",2017-01-13,"Rave Patry","7feb2151-a8e2-11e6-8597-f9ef43490d96"
"d208d394-a4f7-11e6-91a5-1fc490c5cf69",2017-01-19,"Der Zauberer von Oz","7feb2152-a8e2-11e6-8597-f9ef43490d96"
"d208d395-a4f7-11e6-91a5-1fc490c5cf69",2017-05-27,"Wiener Schmucktage","7feb2153-a8e2-11e6-8597-f9ef43490d96"
"d208d396-a4f7-11e6-91a5-1fc490c5cf69",2017-11-22,"Be Loved (voga)","7feb2154-a8e2-11e6-8597-f9ef43490d96"
"d208d397-a4f7-11e6-91a5-1fc490c5cf69",2017-07-12,"saunieren statt studieren","7feb2155-a8e2-11e6-8597-f9ef43490d96"
"d208d398-a4f7-11e6-91a5-1fc490c5cf69",2017-02-14,"The Last Five Years","7feb2156-a8e2-11e6-8597-f9ef43490d96"
"d208d399-a4f7-11e6-91a5-1fc490c5cf69",2017-12-30,"Schikaneder","7feb2157-a8e2-11e6-8597-f9ef43490d96"
"d208d39a-a4f7-11e6-91a5-1fc490c5cf69",2017-11-09,"Hoffmanns Erzählungen","7feb2158-a8e2-11e6-8597-f9ef43490d96"
"d208d39b-a4f7-11e6-91a5-1fc490c5cf69",2017-03-19,"Architektur Zeitreisen","7feb2159-a8e2-11e6-8597-f9ef43490d96"
"d208d39c-a4f7-11e6-91a5-1fc490c5cf69",2017-01-05,"Cosmopolitan","7feb215a-a8e2-11e6-8597-f9ef43490d96"
"d208d39d-a4f7-11e6-91a5-1fc490c5cf69",2017-09-28,"Turbo","7feb215b-a8e2-11e6-8597-f9ef43490d96"
"d208d39e-a4f7-11e6-91a5-1fc490c5cf69",2017-11-27,"Business Frühstück","7feb215c-a8e2-11e6-8597-f9ef43490d96"
"d208faa0-a4f7-11e6-91a5-1fc490c5cf69",2017-12-14,"Wien Modern","7feb4860-a8e2-11e6-8597-f9ef43490d96"
"d208faa1-a4f7-11e6-91a5-1fc490c5cf69",2017-03-21,"Wien Modern","7feb4861-a8e2-11e6-8597-f9ef43490d96"
"d208faa2-a4f7-11e6-91a5-1fc490c5cf69",2017-04-27,"kein Sonntag ohne Techno","7feb4862-a8e2-11e6-8597-f9ef43490d96"
"d208faa3-a4f7-11e6-91a5-1fc490c5cf69",2017-04-20,"Wien bewegt","7feb4863-a8e2-11e6-8597-f9ef43490d96"
"d208faa4-a4f7-11e6-91a5-1fc490c5cf69",2017-12-14,"Orpheus","7feb4864-a8e2-11e6-8597-f9ef43490d96"
"d208faa5-a4f7-11e6-91a5-1fc490c5cf69",2017-09-24,"Vanity","7feb4865-a8e2-11e6-8597-f9ef43490d96"
"d208faa6-a4f7-11e6-91a5-1fc490c5cf69",2017-08-20,"Der Zauberer von Oz","7feb4866-a8e2-11e6-8597-f9ef43490d96"
"d208faa7-a4f7-11e6-91a5-1fc490c5cf69",2017-07-23,"5 Uhr Tee","7feb4867-a8e2-11e6-8597-f9ef43490d96"
"d208faa8-a4f7-11e6-91a5-1fc490c5cf69",2017-07-22,"Homeparty","7feb4868-a8e2-11e6-8597-f9ef43490d96"
"d208faa9-a4f7-11e6-91a5-1fc490c5cf69",2017-06-11,"Security Night","7feb4869-a8e2-11e6-8597-f9ef43490d96"
"d208faaa-a4f7-11e6-91a5-1fc490c5cf69",2017-10-27,"Der Zauberer von Oz","7feb486a-a8e2-11e6-8597-f9ef43490d96"
"d208faab-a4f7-11e6-91a5-1fc490c5cf69",2017-10-27,"Luft und Liebe","7feb486b-a8e2-11e6-8597-f9ef43490d96"
"d208faac-a4f7-11e6-91a5-1fc490c5cf69",2017-12-11,"Ensemble Resonanz","7feb486c-a8e2-11e6-8597-f9ef43490d96"
"d208faad-a4f7-11e6-91a5-1fc490c5cf69",2016-12-18,"Sonderausstellung","7feb486d-a8e2-11e6-8597-f9ef43490d96"
"d208faae-a4f7-11e6-91a5-1fc490c5cf69",2017-09-19,"Voice Mania","7feb486e-a8e2-11e6-8597-f9ef43490d96"
"d208faaf-a4f7-11e6-91a5-1fc490c5cf69",2017-02-20,"Turbo","7feb486f-a8e2-11e6-8597-f9ef43490d96"
"d208fab0-a4f7-11e6-91a5-1fc490c5cf69",2017-09-23,"Die Zauberflöte","7feb6f70-a8e2-11e6-8597-f9ef43490d96"
"d208fab1-a4f7-11e6-91a5-1fc490c5cf69",2017-08-16,"Schulgeschichten aus Wien","7feb6f71-a8e2-11e6-8597-f9ef43490d96"
"d208fab2-a4f7-11e6-91a5-1fc490c5cf69",2016-11-11,"Turbo","7feb6f72-a8e2-11e6-8597-f9ef43490d96"
"d208fab3-a4f7-11e6-91a5-1fc490c5cf69",2017-07-05,"London Philharmonic Orchestra","7feb6f73-a8e2-11e6-8597-f9ef43490d96"
"d208fab4-a4f7-11e6-91a5-1fc490c5cf69",2017-08-11,"Musical","7feb6f74-a8e2-11e6-8597-f9ef43490d96"
"d208fab5-a4f7-11e6-91a5-1fc490c5cf69",2017-11-20,"Der Zauberer von Oz","7feb6f75-a8e2-11e6-8597-f9ef43490d96"
"d208fab6-a4f7-11e6-91a5-1fc490c5cf69",2017-07-15,"The Last Five Years","7feb6f76-a8e2-11e6-8597-f9ef43490d96"
"d208fab7-a4f7-11e6-91a5-1fc490c5cf69",2017-03-18,"Homeparty","7feb6f77-a8e2-11e6-8597-f9ef43490d96"
"d208fab8-a4f7-11e6-91a5-1fc490c5cf69",2016-11-08,"Orpheus","7feb6f78-a8e2-11e6-8597-f9ef43490d96"
"d208fab9-a4f7-11e6-91a5-1fc490c5cf69",2017-08-25,"Open Studio","7feb6f79-a8e2-11e6-8597-f9ef43490d96"
"d208faba-a4f7-11e6-91a5-1fc490c5cf69",2017-12-20,"Blutspendeaktion","7feb6f7a-a8e2-11e6-8597-f9ef43490d96"
"d208fabb-a4f7-11e6-91a5-1fc490c5cf69",2017-12-21,"Evita","7feb6f7b-a8e2-11e6-8597-f9ef43490d96"
"d208fabc-a4f7-11e6-91a5-1fc490c5cf69",2017-02-01,"Evita","7feb6f7c-a8e2-11e6-8597-f9ef43490d96"
"d208fabd-a4f7-11e6-91a5-1fc490c5cf69",2017-12-10,"Ausstellung","7feb6f7d-a8e2-11e6-8597-f9ef43490d96"
"d208fabe-a4f7-11e6-91a5-1fc490c5cf69",2016-12-05,"Blutspendeaktion","7feb6f7e-a8e2-11e6-8597-f9ef43490d96"
"d208fabf-a4f7-11e6-91a5-1fc490c5cf69",2017-02-13,"Gutes Wissen – Guter Geschmack","7feb6f7f-a8e2-11e6-8597-f9ef43490d96"
"d208fac0-a4f7-11e6-91a5-1fc490c5cf69",2017-02-03,"My Fair Lady","7feb6f80-a8e2-11e6-8597-f9ef43490d96"
"d208fac1-a4f7-11e6-91a5-1fc490c5cf69",2017-12-18,"Flex 20 Year Anniversary","7feb6f81-a8e2-11e6-8597-f9ef43490d96"
"d208fac2-a4f7-11e6-91a5-1fc490c5cf69",2017-09-11,"Poetiken des Materials","7feb6f82-a8e2-11e6-8597-f9ef43490d96"
